pclass,pred,survived,gender,age
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,male,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
1st,yes,yes,female,adult
2nd,no,yes,male,adult
2nd,no,yes,male,adult
2nd,no,yes,male,adult
2nd,no,yes,male,adult
2nd,no,yes,male,adult
2nd,no,yes,male,adult
2nd,no,yes,male,adult
2nd,no,yes,male,adult
2nd,no,yes,male,adult
2nd,no,no,male,adult
2nd,no,no,male,adult
2nd,no,no,male,adult
2nd,no,no,male,adult
2nd,no,no,male,adult
2nd,yes,yes,female,adult
2nd,yes,yes,female,adult
2nd,yes,yes,female,adult
2nd,yes,yes,female,adult
2nd,yes,yes,female,adult
2nd,yes,yes,female,adult
2nd,yes,yes,female,adult
2nd,yes,yes,female,child
2nd,yes,yes,female,child
2nd,yes,yes,female,child
2nd,yes,yes,female,child
2nd,yes,yes,female,child
3rd,no,yes,male,adult
3rd,no,yes,male,adult
3rd,no,yes,male,adult
3rd,no,yes,male,adult
3rd,no,yes,male,adult
3rd,no,yes,male,adult
3rd,no,yes,male,adult
